[2022-02-08 17:46:27,053] {gcs.py:264} INFO - Object raw/yellow_tripdata_2019-08.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2019-08.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:27,116] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2019-08.parquet deleted.
[2022-02-08 17:46:27,118] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2019-05.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2019-05.parquet
[2022-02-08 17:46:27,233] {gcs.py:251} INFO - Total Bytes: 137418656 | Bytes Written: 137418656
[2022-02-08 17:46:27,234] {gcs.py:264} INFO - Object raw/yellow_tripdata_2019-05.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2019-05.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:27,296] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2019-05.parquet deleted.
[2022-02-08 17:46:27,297] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2019-11.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2019-11.parquet
[2022-02-08 17:46:27,433] {gcs.py:251} INFO - Total Bytes: 124810768 | Bytes Written: 124810768
[2022-02-08 17:46:27,434] {gcs.py:264} INFO - Object raw/yellow_tripdata_2019-11.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2019-11.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:27,498] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2019-11.parquet deleted.
[2022-02-08 17:46:27,499] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2020-11.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2020-11.parquet
[2022-02-08 17:46:27,624] {gcs.py:251} INFO - Total Bytes: 28375709 | Bytes Written: 28375709
[2022-02-08 17:46:27,626] {gcs.py:264} INFO - Object raw/yellow_tripdata_2020-11.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2020-11.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:27,693] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2020-11.parquet deleted.
[2022-02-08 17:46:27,694] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2019-04.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2019-04.parquet
[2022-02-08 17:46:27,825] {gcs.py:251} INFO - Total Bytes: 136706305 | Bytes Written: 136706305
[2022-02-08 17:46:27,826] {gcs.py:264} INFO - Object raw/yellow_tripdata_2019-04.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2019-04.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:27,889] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2019-04.parquet deleted.
[2022-02-08 17:46:27,892] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2020-12.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2020-12.parquet
[2022-02-08 17:46:28,032] {gcs.py:251} INFO - Total Bytes: 27480890 | Bytes Written: 27480890
[2022-02-08 17:46:28,036] {gcs.py:264} INFO - Object raw/yellow_tripdata_2020-12.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2020-12.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:28,104] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2020-12.parquet deleted.
[2022-02-08 17:46:28,105] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2019-01.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2019-01.parquet
[2022-02-08 17:46:28,228] {gcs.py:251} INFO - Total Bytes: 137625296 | Bytes Written: 137625296
[2022-02-08 17:46:28,231] {gcs.py:264} INFO - Object raw/yellow_tripdata_2019-01.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2019-01.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:28,302] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2019-01.parquet deleted.
[2022-02-08 17:46:28,305] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2020-09.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2020-09.parquet
[2022-02-08 17:46:28,427] {gcs.py:251} INFO - Total Bytes: 25539450 | Bytes Written: 25539450
[2022-02-08 17:46:28,428] {gcs.py:264} INFO - Object raw/yellow_tripdata_2020-09.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2020-09.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:28,493] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2020-09.parquet deleted.
[2022-02-08 17:46:28,494] {gcs_to_gcs.py:431} INFO - Executing copy of gs://dtc_data_lake_rational-aria-338717/raw/yellow_tripdata_2019-09.parquet to gs://dtc_data_lake_rational-aria-338717/yellow/yellow_tripdata_*.parquet2019-09.parquet
[2022-02-08 17:46:28,620] {gcs.py:251} INFO - Total Bytes: 120286338 | Bytes Written: 120286338
[2022-02-08 17:46:28,623] {gcs.py:264} INFO - Object raw/yellow_tripdata_2019-09.parquet in bucket dtc_data_lake_rational-aria-338717 rewritten to object yellow/yellow_tripdata_*.parquet2019-09.parquet in bucket dtc_data_lake_rational-aria-338717
[2022-02-08 17:46:28,690] {gcs.py:645} INFO - Blob raw/yellow_tripdata_2019-09.parquet deleted.
[2022-02-08 17:46:28,704] {taskinstance.py:1277} INFO - Marking task as SUCCESS. dag_id=gcs_to_bq_dag, task_id=gcs_2_gcs_task, execution_date=20220207T000000, start_date=20220208T174622, end_date=20220208T174628
[2022-02-08 17:46:28,730] {local_task_job.py:154} INFO - Task exited with return code 0
[2022-02-08 17:46:28,762] {local_task_job.py:264} INFO - 0 downstream tasks scheduled from follow-on schedule check
